data,godz,przew
45,10,2
45,11,2
45,12,2
45,13,2
46,2,1
46,3,1
46,4,1
46,5,1
46,6,1
46,14,1
46,15,1
46,16,1
46,17,1
46,18,1
46,19,1
46,20,1
46,11,1
46,3,2
46,4,2
46,5,2
46,6,2
46,7,2
46,8,2
46,9,2
47,1,1
47,2,1
47,3,1
47,4,1
47,5,1
47,6,1
47,8,1
47,9,1
47,10,1
47,11,1
47,12,1
47,13,1
47,14,1
47,15,1
47,16,1
48,1,1
48,2,1
48,3,1
48,4,1
48,5,1
48,6,1
48,7,1
48,8,1
48,9,1
48,10,1
48,11,1
48,12,1
48,13,1
48,14,1
48,15,1
48,2,2
48,3,2
48,4,2
48,5,2
48,6,2
48,7,2
48,8,2
48,9,2
48,10,2
48,11,2
48,12,2
48,13,2
48,14,2
49,1,1
49,2,1
49,3,1
49,4,1
49,5,1
49,6,1
49,7,1
49,8,1
49,11,1
49,12,1
49,13,1
49,14,1
49,15,1
49,16,1
49,17,1
50,7,1
51,3,1
52,5,1
52,6,1
52,13,1
52,14,1
52,15,1
52,16,1
52,17,1
53,3,1
53,4,1
53,5,1
53,6,1
53,7,1
53,8,1
53,9,1
53,10,1
53,11,1
54,13,1
54,14,1
54,15,1
55,3,1
55,4,1
55,5,1
55,6,1
55,7,1
55,8,1
56,14,2
56,15,2
56,16,2
56,17,2
56,18,2
57,3,1
57,3,2
57,4,2
57,5,2
57,6,2
57,7,2
58,2,2
58,3,2
58,4,2
58,5,2
58,6,2
58,7,2
58,8,2
58,9,2
58,10,2
58,11,2
58,12,2
58,13,2
59,3,3
59,4,3
59,5,3
59,6,3
59,7,3
59,8,3
59,9,3
59,10,3
59,11,3
59,4,2
59,5,2
59,6,2
59,7,2
59,8,2
59,9,2
59,10,2
59,11,2
60,3,2
60,4,2
61,2,1
61,3,1
61,4,1
61,5,1
61,6,1
61,7,1
61,10,1
61,2,2
61,3,2
61,4,2
61,5,2
61,6,2
62,1,1
62,2,1
62,3,1
62,4,1
62,5,1
62,6,1
62,7,1
62,1,2
62,2,2
62,3,2
62,4,2
62,5,2
62,6,2
63,15,1
63,16,1
